"Ticker","Nome","Negócios","Última (R$)","Variação"
"CEBR3","CEB","4.200","19,60","+1,45%"
"TELB4","Telebras","3.900","8,10","+0,00%"
"BPAC3","Banco BTG Pactual","3.700","22,57","-4,04%"
"UNIP3","Unipar","3.600","52,46","+0,40%"
"REAG3","REAG3","3.200","3,53","-4,59%"
"RPMG3","Refinaria de Manguinhos","3.100","2,95","-1,01%"
"CRPG5","Tronox Pigmentos","3.000","16,56","-2,47%"
"RDNI3","RNI","2.900","2,41","+0,00%"
"PTNT4","Pettenati","2.800","4,90","+2,08%"
"CLSC4","Celesc","2.700","103,47","+0,55%"
"AVLL3","Alphaville","2.600","1,67","-1,76%"
"REDE3","Rede Energia","2.400","6,68","+0,60%"
"CGAS5","Comgás","2.200","131,50","+0,52%"
"BGIP4","Banese","2.200","27,80","+0,83%"
"CEDO4","Cedro Têxtil","2.200","17,21","-1,66%"
"MNPR3","Minupar","2.100","26,00","+2,12%"
"JFEN3","João Fortes","2.100","1,84","+0,55%"
"MAPT4","Cemepe","2.000","3,70","-7,50%"
"EMAE4","EMAE","1.600","30,91","+0,03%"
"EPAR3","Embpar Participações","1.600","4,98","-0,40%"
"ISAE3","ISA Energia","1.500","30,36","-0,91%"
"CGRA3","Grazziotin","1.500","27,62","-5,28%"
"CGRA4","Grazziotin","1.400","28,40","-1,05%"
"GEPA4","Rio Paranapanema Energia","1.300","34,99","-2,26%"
"PINE3","Banco Pine","1.300","6,06","+1,00%"
"WEST3","Westwing","1.300","3,67","+1,38%"
"HAGA3","Haga","1.300","1,98","+1,54%"
"BOBR4","Bombril","1.300","1,57","-1,26%"
"HAGA4","Haga","1.300","1,18","-0,84%"
"BPAC5","Banco BTG Pactual","1.100","9,27","-2,22%"
"BAUH4","Excelsior","1.000","83,50","+1,22%"
"DOHL4","Döhler","1.000","3,95","+0,00%"
"HOOT4","Hotéis Othon","1.000","3,87","-1,53%"
"PTNT3","Pettenati","900","8,77","-3,41%"
"COCE3","Coelce","700","28,40","+1,57%"
"AMAR11","Lojas Marisa","700","0,23","+0,00%"
"PPLA11","PPLA","620","0,95","+1,06%"
"MTSA4","Metisa","600","43,35","-0,12%"
"DEXP4","Dexxos","400","9,25","+2,78%"
"CGAS3","Comgás","300","126,00","+0,80%"
"BMEB3","Banco Mercantil do Brasil","300","33,00","-0,60%"
"CRPG6","Tronox Pigmentos","300","18,99","+2,70%"
"EALT3","Electro Aço Altona","300","14,65","-1,74%"
"CEDO3","Cedro Têxtil","200","24,23","-12,08%"
"FESA3","Ferbasa","200","11,85","+2,95%"
"CBEE3","Ampla Energia","200","9,44","+10,93%"
"BDLL4","Bardella","200","7,45","+0,00%"
"HETA4","Hercules","200","5,50","+0,00%"
"NEXP3","Brasil Brokers","200","3,85","+0,00%"
"BNBR3","Banco do Nordeste","100","91,21","-1,94%"
"ENMT4","Energisa MT","100","74,30","-2,24%"
"RSUL4","Metalúrgica Riosulense","100","69,88","-0,07%"
"WLMM4","WLM","100","25,69","-0,77%"
"BMIN4","Banco Mercantil de Investimentos","100","17,10","+0,00%"
"CPLE5","Copel","100","13,84","-1,14%"
"BSLI3","Banco de Brasília","100","8,00","-0,37%"
"PLAS3","Plascar","100","5,30","+3,52%"
"MGEL4","Mangels","100","4,14","+2,22%"
"CTSA3","Santanense","100","4,08","-0,24%"
"BMKS3","Monark","2","414,00","-0,24%"
"NTCO3","Natura","6.974.900","10,80","-2,26%"
"BIED3","BIED3","15.800","3,64","-7,85%"
"OSXB3","OSX Brasil","3.900","2,80","+1,82%"
"TELB3","Telebras","1.100","12,80","-0,23%"
"MOAR3","Monteiro Aranha","800","140,00","-1,41%"
"MWET4","Wetzel","600","12,00","-2,99%"
"ESTR4","Estrela","600","3,47","+11,94%"
"EKTR4","Elektro","300","47,99","+2,06%"
"HBTS5","Habitasul","200","30,00","+3,45%"
"EUCA3","Eucatex","200","20,99","+0,91%"
"UNIP5","Unipar","100","57,10","+3,78%"
"GEPA3","Rio Paranapanema Energia","100","36,00","+9,09%"
"BGIP3","Banese","100","34,99","+17,93%"
"PATI4","Panatlântica","100","34,76","+0,00%"
"EQMA3B","Equatorial Maranhão","100","27,60","-0,72%"
"CCTY3","RDVC CITY","100","19,00","+0,00%"
"PINE11","Banco Pine","100","9,98","-4,95%"
"NORD3","Nordon","100","6,11","+0,00%"
"GSHP3","General Shopping & Outlets","100","4,51","-1,96%"
"BALM4","Baumer","1.200","15,45","-2,77%"
"PEAB4","Participações Aliança da Bahia","500","45,65","+3,75%"
"ENMT3","Energisa MT","400","65,90","+6,32%"
"RPAD3","Alfa Holdings","300","4,16","+0,73%"
"CTKA3","Karsten","200","34,18","-18,21%"
"AFLT3","Afluente T","100","7,01","+0,14%"
"FRIO3","Metalfrio","200","220,00","-3,08%"
"JOPA3","Josapar","200","20,11","+0,00%"
"DTCY3","Dtcom","200","2,80","-3,45%"
"BRSR5","Banrisul","100","14,64","+1,46%"
"RPAD6","Alfa Holdings","100","4,04","-1,70%"
"BRKM6","Braskem","1.100","8,00","+0,00%"
"SNSY3","Sansuy","300","11,00","-3,51%"
"CRPG3","Tronox Pigmentos","100","18,50","-4,00%"
"IGTI4","Iguatemi","100","10,00","-6,37%"
"IGTI4","Jereissati Participações","100","10,00","-6,37%"
"FIEI3","Fica","7.000","11,97","+0,00%"
"BALM3","Baumer","1.000","20,00","+0,50%"
"TKNO4","Tekno","100","82,00","+0,00%"
"MRSA3B","MRS Logística","100","28,80","+9,51%"
"USIM6","Usiminas","100","8,00","+0,00%"
"CTKA4","Karsten","500","37,00","+0,00%"
"PATI3","Panatlântica","200","38,94","-2,41%"
"CLSC3","Celesc","200","90,22","+0,12%"
"MTSA3","Metisa","100","76,00","+1,33%"
"AHEB5","São Paulo Turismo","100","58,00","+0,00%"
"PSVM11","PORTO VM","400","5,70","+0,00%"
"SOND6","Sondotécnica","100","37,85","-19,11%"
"EKTR3","Elektro","100","35,01","+0,03%"
